qid,question,category,difficulty,persona,answerable,gold_doc_ids,reference_answer,eval_notes
Q001,What is the standard lead time for Vector Bearings GmbH?,single_fact,easy,procurement,true,SUP-103,45 days.,Basic single-document fact lookup.
Q002,What material is the PRT-2002 housing cover made from?,single_fact,easy,design_engineer,true,SPEC-2002,PA66 (nylon 6/6).,Single-fact retrieval; must not confuse with the PTFE gasket PRT-2006.
Q003,What is the diameter tolerance of the PRT-2001 drive shaft?,single_fact,easy,design_engineer,true,SPEC-2001,+/-0.02 mm.,Single-fact numeric retrieval.
Q004,How long was the downtime recorded in work order WO-5002?,single_fact,easy,maintenance,true,WO-5002,6.0 hours.,Single-fact retrieval keyed on an explicit record ID.
Q005,What is the dynamic load rating of the PRT-2003 precision bearing?,single_fact,easy,design_engineer,true,SPEC-2003,12.5 kN.,Single-fact spec retrieval.
Q006,Where is Crescent Fasteners Co. located?,single_fact,easy,procurement,true,SUP-104,"Monterrey, Mexico.",Single-fact firmographic retrieval.
Q007,What is the lead time of the supplier that provides the bearing used on the Cyclops lathe?,multi_hop,hard,procurement,true,SPEC-2003;SUP-103,"45 days. Cyclops is MCH-301, which uses bearing PRT-2003, supplied by Vector Bearings (SUP-103), whose lead time is 45 days.",3-hop: machine codename -> part -> supplier -> lead time.
Q008,"What raw material is the drive shaft on the PEGASUS line made from, and who supplies that material?",multi_hop,hard,design_engineer,true,SPEC-2001;SUP-101,"4140 alloy steel, supplied by Titan Alloys (SUP-101). PEGASUS = Line A, whose drive shaft is PRT-2001, made of 4140 steel sourced from SUP-101.",Multi-hop: line codename -> part -> material -> supplier.
Q009,The part replaced in work order WO-5001 — who supplies it and what is its rated speed?,multi_hop,medium,maintenance,true,WO-5001;SPEC-2003,"The replaced part is the PRT-2003 bearing, supplied by Vector Bearings (SUP-103), with a rated speed of 12000 rpm.",Multi-hop: work order -> part -> spec/supplier.
Q010,"Which troubleshooting guide applies to the failure mode behind WO-5002, and what part did that failure scrap?",multi_hop,hard,quality,true,WO-5002;NCR-7002;TG-001,"WO-5002 was a heater-band failure that caused short shots; troubleshooting guide TG-001 covers short shots, and NCR-7002 records the scrapped part PRT-2002 (housing cover).","Multi-hop across work order, NCR, and troubleshooting guide."
Q011,What is the OEE of the machine that molds the REDFOX housing cover?,multi_hop,medium,plant_manager,true,SPEC-2002;TEL-302,"76.5%. The REDFOX housing cover (PRT-2002) is molded on Hydra (MCH-302), whose OEE in TEL-302 is 76.5%.",Multi-hop: program/part -> machine -> telemetry OEE.
Q012,How many work orders were logged against the Cyclops lathe (MCH-301)?,aggregation_count,medium,maintenance,true,WO-5001;WO-5004,2 (WO-5001 and WO-5004).,Counting/aggregation across the work-order set for one asset.
Q013,How many of the approved suppliers are based in the United States?,aggregation_count,medium,procurement,true,SUP-101;SUP-102;SUP-103;SUP-104;SUP-105,"3 — Titan Alloys (OH), Pacific Polymers (OR), and Lumen Sensors (CA). Vector Bearings (Germany) and Crescent Fasteners (Mexico) are not.",Count requires filtering by location across all supplier docs.
Q014,How many distinct parts does Pacific Polymers (SUP-102) supply?,aggregation_count,medium,procurement,true,SPEC-2002;SPEC-2006,2 — the PRT-2002 housing cover (PA66) and the PRT-2006 gasket (PTFE).,Aggregation across part specs by supplier.
Q015,How many non-conformance reports (NCRs) are in the knowledge base?,aggregation_count,medium,quality,true,NCR-7001;NCR-7002;NCR-7004,"3 NCR records (NCR-7001, NCR-7002, NCR-7004). Note NCR-7004 is a suspected duplicate of NCR-7001.",Counting documents of a type; duplicate record complicates the count.
Q016,How many machines does the LOTO procedure SOP-020 explicitly apply to?,aggregation_count,easy,maintenance,true,SOP-020,"4 — Cyclops (MCH-301), Hydra (MCH-302), Goliath (MCH-303), and Atlas (MCH-304).",Count of entities listed within a single document.
Q017,"Which has the longer lead time, Vector Bearings or Pacific Polymers?",comparison,easy,procurement,true,SUP-103;SUP-102,Vector Bearings (45 days) is longer than Pacific Polymers (35 days).,Two-document numeric comparison.
Q018,"Which material has higher ultimate tensile strength, 4140 steel or 6061 aluminum?",comparison,medium,design_engineer,true,MAT-4140;MAT-AL6061,4140 steel (655 MPa) is much higher than 6061 aluminum (310 MPa).,Cross-datasheet property comparison.
Q019,"Between Line A and Line B, which had the higher Q1 first-pass yield?",comparison,easy,quality,true,QR-7003,Line B (KRAKEN) at 96.5% was higher than Line A (PEGASUS) at 94.2%.,Comparison read from a single summary table.
Q020,"Which machine had the lower OEE, Cyclops or Hydra?",comparison,medium,plant_manager,true,TEL-301;TEL-302,Hydra (MCH-302) at 76.5% had a lower OEE than Cyclops (MCH-301) at 82.3%.,Comparison across two telemetry docs using codenames.
Q021,What is the total line-item cost of purchase order PO-9001?,numeric_calculation,medium,procurement,true,PO-9001,"USD 8,500.00 (200 units x USD 42.50).",Arithmetic over quantity and unit price in one PO.
Q022,What was the total maintenance downtime across all work orders on the Cyclops lathe?,numeric_calculation,medium,maintenance,true,WO-5001;WO-5004,6.0 hours (4.5 h from WO-5001 + 1.5 h from WO-5004).,Sum across multiple records for one asset.
Q023,"Using the components in TEL-301, calculate the OEE of the Cyclops lathe and confirm it matches the reported value.",numeric_calculation,hard,plant_manager,true,TEL-301,"0.910 x 0.950 x 0.952 = 0.823 = 82.3%, which matches the reported OEE.",Multi-factor calculation that must reproduce the stated figure.
Q024,What is the total cost of the bolt line item on PO-9003?,numeric_calculation,easy,procurement,true,PO-9003,"USD 1,750.00 (5000 units x USD 0.35).",Single-line arithmetic.
Q025,Express the current drive-shaft retaining-nut torque in foot-pounds.,unit_conversion,medium,maintenance,true,SOP-001-v2,"About 70.1 ft-lb (95 Nm x 0.7376). Use the CURRENT 95 Nm value, not the superseded 85 Nm.",Unit conversion that also depends on resolving the current SOP version.
Q026,What is the PRT-2001 drive-shaft length in inches?,unit_conversion,easy,design_engineer,true,SPEC-2001,About 9.84 inches (250 mm / 25.4).,Straight metric-to-imperial length conversion.
Q027,Express the density of 4140 steel in kg/m^3.,unit_conversion,easy,design_engineer,true,MAT-4140,7850 kg/m^3 (7.85 g/cm^3 x 1000).,Density unit conversion.
Q028,Convert the PRT-2003 bearing bore diameter to inches.,unit_conversion,easy,design_engineer,true,SPEC-2003,About 1.181 inches (30 mm / 25.4).,Simple length conversion from a spec.
Q029,What is the effective date of the current drive-shaft torque SOP?,temporal_versioned,medium,quality,true,SOP-001-v2,2024-09-15 (SOP-001 Revision 2).,"Must select the current revision's effective date, not the superseded one."
Q030,Which revision of SOP-001 is currently in effect?,temporal_versioned,easy,quality,true,SOP-001-v2,Revision 2 (the current/effective version); Revision 1 is superseded.,Version-status retrieval.
Q031,When was the superseded revision of the drive-shaft torque SOP first effective?,temporal_versioned,medium,quality,true,SOP-001-v1,"2022-03-01 (SOP-001 Revision 1, now superseded).","Temporal lookup specifically of the older, superseded revision."
Q032,What period does the QR-7003 quality summary cover?,temporal_versioned,easy,plant_manager,true,QR-7003,Q1 2025 (January-March 2025).,Temporal scoping of a report.
Q033,What torque should I apply to the PRT-2001 drive-shaft retaining nut?,conflict_resolution,hard,maintenance,true,SOP-001-v2;SOP-001-v1,"95 Nm — the value in the CURRENT SOP-001 Revision 2 (effective 2024-09-15), which supersedes the 85 Nm in Revision 1.",Conflicting versioned values; correct only if the current value (95 Nm) is returned.
Q034,There are two torque values for the drive shaft in the SOPs — which one is correct now and why?,conflict_resolution,hard,quality,true,SOP-001-v2;SOP-001-v1,95 Nm is correct now. SOP-001 Rev 2 (effective 2024-09-15) explicitly supersedes Rev 1's 85 Nm.,"Tests whether the model reasons about supersession metadata, not just keyword match."
Q035,How many units were affected by the drive-shaft oversize non-conformance?,conflict_resolution,hard,quality,true,NCR-7001;NCR-7004,The records conflict: NCR-7001 says 12 units while its suspected duplicate NCR-7004 says 21. The data-quality team has flagged this as an unresolved discrepancy; the model should surface the conflict rather than assert one number.,Near-duplicate records disagree on one field; correct behavior is to flag the conflict.
Q036,Is the 85 Nm drive-shaft torque value still valid for production?,conflict_resolution,medium,maintenance,true,SOP-001-v1;SOP-001-v2,No. 85 Nm (SOP-001 Rev 1) is superseded; the current value is 95 Nm (Rev 2).,Conflict resolution framed as a yes/no validity check on the stale value.
Q037,What is the warranty period offered on the PRT-2003 bearings?,unanswerable,medium,procurement,false,,Not in the knowledge base. No warranty terms for PRT-2003 (or any part) are documented.,Hallucination resistance: plausible but genuinely absent fact.
Q038,What is the melting point of 4140 steel?,unanswerable,medium,design_engineer,false,,Not in the knowledge base. The MAT-4140 datasheet lists mechanical properties only; no melting/thermal data is given.,Absent thermal property; the steel datasheet deliberately omits melting point.
Q039,What is the OEE of the Atlas robot (MCH-304) on the TITAN-LINE?,unanswerable,medium,plant_manager,false,,Not in the knowledge base. Telemetry exists only for MCH-301 and MCH-302; there is no OEE record for MCH-304.,Absent telemetry for a real entity; tests refusal vs. fabrication.
Q040,What is the unit price of the PRT-2002 housing cover?,unanswerable,medium,procurement,false,,"Not in the knowledge base. No purchase order or price record exists for PRT-2002 (POs cover bearings, steel, and bolts only).",Pricing absent for a part that otherwise exists; tests scoped refusal.
Q041,What is the MTBF of the Hydra injection-molding machine (MCH-302)?,unanswerable,hard,maintenance,false,,Not in the knowledge base. MTBF is reported only for the MCH-301 spindle bearing (WO-5001); no MTBF figure exists for MCH-302.,Acronym is known and a similar fact exists for another machine — strong lure to hallucinate.
Q042,Who is the CEO of Vector Bearings GmbH?,unanswerable,easy,procurement,false,,"Not in the knowledge base. Supplier records list only location, products, lead time, and a contact email — no executive names.",Firmographic detail deliberately absent.
Q043,What product program runs on the PEGASUS line?,jargon_codename_acronym,medium,plant_manager,true,QR-7003,The BLUEBIRD program (PEGASUS = Line A).,Codename resolution: PEGASUS -> Line A -> BLUEBIRD.
Q044,What does LOTO stand for and which SOP covers it?,jargon_codename_acronym,easy,maintenance,true,SOP-020,"LOTO = Lockout/Tagout, covered by SOP-020.",Acronym expansion plus document mapping.
Q045,"On the shop floor, what is meant by 'the dog house'?",jargon_codename_acronym,medium,quality,true,STD-IS-900,The 'dog house' is the QA hold / quarantine area where below-threshold lots are held for disposition.,Shop-floor jargon resolution.
Q046,What is the first-pass yield (FPY) of the KRAKEN line?,jargon_codename_acronym,medium,quality,true,QR-7003,"96.5% (KRAKEN = Line B, REDFOX program).",Combines acronym (FPY) and codename (KRAKEN) resolution against a table.
Q047,What does operators' phrase 'the squeeze' refer to?,jargon_codename_acronym,easy,maintenance,true,SPEC-2002;TG-001,"'The squeeze' is the injection-molding step (on the Hydra machine, MCH-302).",Jargon resolution for a process step.
Q048,"From the Q1 quality summary, which program had the highest FPY?",tabular_reasoning,medium,quality,true,QR-7003,The TITAN-LINE (Line C) assembly at 98.1% FPY.,Row selection by max over a table column.
Q049,How many units did Line B produce in Q1 according to the quality summary?,tabular_reasoning,easy,plant_manager,true,QR-7003,3850 units.,Cell lookup at a row/column intersection in a table.
Q050,"From the TEL-301 table, what is the Cyclops lathe's availability?",tabular_reasoning,easy,maintenance,true,TEL-301,91.0%.,Table cell lookup within telemetry doc.
Q051,"Across both lines with reported units in QR-7003 above the 95% threshold, what is their combined Q1 unit output?",tabular_reasoning,hard,plant_manager,true,QR-7003,5950 units — Line B (3850) + Line C (2100); Line A is excluded because its 94.2% FPY is below the 95% threshold.,Tabular reasoning with a filter condition plus a sum.
Q052,What are the steps to lock out the Hydra machine before servicing it?,procedural_stepwise,medium,maintenance,true,SOP-020,"Per SOP-020: (1) notify operators and shut down normally; (2) isolate electrical, pneumatic, and hydraulic energy; (3) apply locks and tags; (4) release/restrain stored energy; (5) verify zero energy by attempting a restart before working.",Ordered procedure extraction; order matters.
Q053,Outline the mold changeover procedure on the KRAKEN line.,procedural_stepwise,medium,maintenance,true,SOP-010,Per SOP-010: finish the shot count and quarantine in-process parts; perform LOTO (SOP-020); purge the barrel and confirm melt-temp drop; remove the old mold with the hoist; install/clamp the new mold and reconnect water; re-establish parameters and run a first-off inspection.,Multi-step procedure extraction with an embedded cross-reference to SOP-020.
Q054,What should a technician check first when diagnosing a short shot?,procedural_stepwise,medium,maintenance,true,TG-001,"Per TG-001, start with melt temperature (verify barrel zone setpoints and heater bands), then injection/hold pressure, blocked gate/vent, and shot size.",Procedural/diagnostic ordering from a troubleshooting guide.
Q055,Which approved suppliers have a quoted lead time of 30 days or less?,constraint_filtering,medium,procurement,true,SUP-101;SUP-104;SUP-105,"Three: Titan Alloys (21), Crescent Fasteners (14), and Lumen Sensors (28). Pacific Polymers (35) and Vector Bearings (45) exceed 30 days.",Numeric threshold filter across all supplier docs.
Q056,Which production lines finished Q1 below the 95% FPY release threshold?,constraint_filtering,medium,quality,true,QR-7003,Only Line A (PEGASUS) at 94.2%.,Filter rows of a table against a stated threshold.
Q057,List the parts that are supplied by Titan Alloys (SUP-101).,constraint_filtering,medium,procurement,true,SPEC-2001;SPEC-2007,PRT-2001 drive shaft (4140 steel) and PRT-2007 aluminum bracket (6061).,Filter parts by supplier across multiple specs.
Q058,Which work orders involved replacing or servicing a supplier-provided part?,constraint_filtering,hard,maintenance,true,WO-5001;WO-5004,WO-5001 (replaced PRT-2003 bearing) and WO-5004 (recalibrated PRT-2005 sensor). WO-5002 and WO-5003 did not replace a catalog part.,Filter work orders by whether a part/supplier is referenced.
Q059,What is the torque value?,ambiguous_needs_clarification,medium,maintenance,false,,Ambiguous — clarification needed. Torque depends on the fastener: the drive-shaft retaining nut (currently 95 Nm per SOP-001 Rev 2) and the M10 hex bolt (governed by TQ-450) are different. Ask which fastener is meant before answering.,"Under-specified query; correct behavior is to request clarification, not guess."
Q060,How long is the lead time?,ambiguous_needs_clarification,easy,procurement,false,,Ambiguous — clarification needed. Lead time varies by supplier (14-45 days). Ask which supplier or part is meant.,"Missing entity; multiple valid answers exist, so clarify first."
Q061,What's the OEE?,ambiguous_needs_clarification,easy,plant_manager,false,,"Ambiguous — clarification needed. OEE is reported per machine (Cyclops 82.3%, Hydra 76.5%). Ask which machine or line is meant.",Ambiguous metric request spanning multiple entities.
Q062,What's the weather forecast for tomorrow?,out_of_scope_rejection,easy,plant_manager,false,,Out of scope. This is a manufacturing knowledge base and does not contain weather information; the RAG system should decline and redirect.,"Off-topic; should be refused/redirected, not answered."
Q063,Can you recommend a good stock to invest in?,out_of_scope_rejection,easy,procurement,false,,Out of scope. Financial/investment advice is outside the purpose of this knowledge base.,Off-topic and advice-seeking; refuse and redirect.
Q064,Write me a poem about the ocean.,out_of_scope_rejection,easy,design_engineer,false,,Out of scope. Creative writing is unrelated to the manufacturing knowledge base.,Tests that the system stays on-task rather than free-forming.
Q065,What is Helios Plant 7's total annual revenue and profit margin?,out_of_scope_rejection,medium,plant_manager,false,,Out of scope / not in the knowledge base. Financial performance is not part of this operational/technical corpus.,Plausible business question outside the corpus scope; refuse rather than fabricate.
Q066,Give an overall assessment of the reliability risks on the PEGASUS line.,high_level_synthesis,hard,plant_manager,true,,"Synthesis (no single source): PEGASUS (Line A) shows the spindle-bearing failure on Cyclops (WO-5001, MTBF 1820 h) and a follow-on sensor recalibration (WO-5004); a drive-shaft oversize non-conformance (NCR-7001/7004) dragging Line A's Q1 FPY to 94.2% (below the 95% threshold, QR-7003); and vibration trends (TEL-301, TG-002). Net: bearing reliability and dimensional control are the leading risks.",High-level synthesis spanning WO/NCR/QR/TEL/TG; answer is in no single doc.
Q067,Summarize the plant's quality posture for Q1 2025.,high_level_synthesis,hard,quality,true,,"Synthesis: Q1 FPY was 94.2% (Line A), 96.5% (Line B), 98.1% (Line C); only Line A fell below the 95% threshold and needs a corrective-action plan. Drivers include the drive-shaft oversize NCR on Line A and a short-shot scrap NCR on Line B tied to a heater-band failure.",Cross-document synthesis of overall quality state.
Q068,Assess the supply-chain risk for the bearing used on the Cyclops lathe.,high_level_synthesis,hard,procurement,true,,"Synthesis: the PRT-2003 bearing is single-sourced from Vector Bearings (SUP-103) in Germany with the longest lead time of any supplier (45 days), it is a known failure item (WO-5001), and it sits on two critical machines (MCH-301 and MCH-303). Long lead time plus single-source plus failure history make it a notable risk.","Risk synthesis combining supplier, PO, spec, and maintenance evidence."
Q069,What are the main themes across the plant's 2025 safety incidents?,high_level_synthesis,medium,plant_manager,true,,Synthesis: incidents in 2025 include a LOTO near-miss on Hydra from skipped stored-energy release (INC-8001) and a forklift rack contact in the warehouse (INC-8002). Themes: energy-control procedure adherence and warehouse traffic/visibility.,Thematic synthesis across incident reports.
Q070,Tell me about 'Titan' at the plant.,entity_disambiguation,hard,plant_manager,true,SUP-101;SPEC-2007,"'Titan' is ambiguous: Titan Alloys (SUP-101) is the Cleveland metals supplier, while TITAN-LINE is Line C (final assembly). They are unrelated despite the shared word; clarify which is meant. (PRT-2007 is used on the TITAN-LINE.)",Deliberate name collision between a supplier and a production line.
Q071,Which 'Atlas' are you referring to — is it a supplier?,entity_disambiguation,medium,maintenance,true,SOP-020;SPEC-2007,"Atlas is the MCH-304 assembly robot on the TITAN-LINE, not a supplier. No supplier named Atlas exists in the corpus.",Disambiguates a machine codename from an assumed supplier category.
Q072,The PEGASUS line uses a bearing supplied by Vector Bearings — is that the same Vector that does our sensors?,entity_disambiguation,medium,procurement,true,SUP-103;SUP-105,No. Vector Bearings GmbH (SUP-103) supplies bearings; sensors come from Lumen Sensors (SUP-105). There is no sensor supplier named 'Vector'.,Disambiguates two suppliers and corrects a false-premise conflation.
